Roll_Radians,Pitch_Radians,Yaw_Radians,Latitude,Longitude,Acc_Net,Altitude,Voltage,System_State
1.205,-0.183,-2.656,0.0,0.0,1.345,454.954,0.206,0
1.29,-0.1,-2.661,0.0,0.0,1.367,454.98,0.206,0
1.411,0.007,-2.659,0.0,0.0,1.258,454.96,0.206,0
1.474,-0.015,-2.693,0.0,0.0,1.249,455.019,0.206,0
1.491,-0.034,-2.703,0.0,0.0,1.36,455.006,0.206,0
1.448,-0.03,-2.641,0.0,0.0,1.252,454.911,0.206,0
1.378,-0.03,-2.587,0.0,0.0,1.31,454.933,0.206,0
1.33,-0.037,-2.516,0.0,0.0,1.352,454.937,0.206,0
1.273,-0.054,-2.446,0.0,0.0,1.301,454.935,0.206,0
1.203,-0.042,-2.39,0.0,0.0,1.345,454.967,0.206,0
1.167,-0.031,-2.353,0.0,0.0,1.351,454.962,0.206,0
1.18,-0.015,-2.401,0.0,0.0,1.289,455.007,0.206,0
1.195,-0.007,-2.473,0.0,0.0,1.362,455.029,0.206,0
1.298,-0.055,-2.537,0.0,0.0,1.275,455.0,0.206,0
1.362,-0.094,-2.585,0.0,0.0,1.481,454.994,0.206,0
1.356,-0.097,-2.565,0.0,0.0,1.337,454.999,0.206,0
1.31,-0.098,-2.515,0.0,0.0,1.297,455.01,0.206,0
1.232,-0.094,-2.462,0.0,0.0,1.283,455.048,0.206,0
1.142,-0.085,-2.391,0.0,0.0,1.265,455.077,0.206,0
1.054,-0.061,-2.352,0.0,0.0,1.454,455.069,0.206,0
1.034,-0.042,-2.347,0.0,0.0,1.438,455.063,0.206,0
1.095,-0.045,-2.387,0.0,0.0,1.238,455.11,0.206,0
1.195,-0.075,-2.452,0.0,0.0,1.233,455.149,0.206,0
1.324,-0.129,-2.518,0.0,0.0,1.319,455.152,0.206,0
1.333,-0.129,-2.544,0.0,0.0,1.594,455.172,0.206,0
1.223,-0.054,-2.44,0.0,0.0,1.622,455.116,0.206,0
1.322,-0.077,-2.319,0.0,0.0,0.684,455.171,0.206,0
1.245,-0.123,-2.409,0.0,0.0,1.499,455.221,0.206,0
1.201,-0.115,-2.437,0.0,0.0,1.892,455.165,0.206,0
1.293,-0.048,-2.388,0.0,0.0,0.887,455.15,0.206,0
1.283,-0.077,-2.398,0.0,0.0,0.982,455.168,0.206,0
1.156,-0.117,-2.451,0.0,0.0,2.382,455.193,0.186,0
1.297,-0.104,-2.33,0.0,0.0,0.748,455.244,0.206,0
1.174,-0.082,-2.426,0.0,0.0,1.56,455.213,0.206,0
1.193,-0.072,-2.414,0.0,0.0,1.447,455.25,0.206,0
1.257,-0.044,-2.381,0.0,0.0,1.009,455.232,0.206,0
1.161,-0.055,-2.445,0.0,0.0,1.8,455.2,0.206,0
1.279,-0.037,-2.358,0.0,0.0,0.813,455.209,0.206,0
1.117,-0.049,-2.454,0.0,0.0,1.991,455.203,0.206,0
1.205,-0.039,-2.395,0.0,0.0,1.169,455.176,0.206,0
1.217,-0.057,-2.411,0.0,0.0,1.214,455.175,0.206,0
1.082,-0.029,-2.398,0.0,0.0,1.404,455.199,0.206,0
0.92,0.041,-2.228,0.0,0.0,1.265,455.191,0.206,0
0.703,0.133,-2.181,0.0,0.0,1.532,455.198,0.206,0
